Name,Devanagari Script,Meaning
Amalā,अमला,"clear, pure, shining"
Arjunā,अर्जुना,"white, clear, made of silver"
Arcā,अर्चा,"worship, adoration"
Avaśā,अवशा,"independent, unrestrained, free"
Aśokā,अशोका,"not causing sorrow, not feeling sorrow"
Akṣarā,अक्षरा,"imperishable, unalterable"
Amitā,अमिता,"boundless, infinite"
Aruṇā / Aruṇī,अरुणा / अरुणी,"reddish, morning or dawn"
Añjī,अञ्जी,a blessing
Anaghā,अनघा,"sinless, faultless"
Anantā,अनन्ता,"boundless, limitless, endless"
Anupamā,अनुपमा,"incomparable, matchless, excellent"
Aśani,अशनि,"the thunderbolt, a flash of lightning"
Ardhagaṅgā / Ardhajāhnavī,अर्धगङ्गा / अर्धजाह्नवी,half of the river Gaṅgā. (name of the river Kāverī)
Arundhatī,अरुन्धती,"A medicinal climbing plant, the wife of seer Vasiśṭha, wife of Dharma, the little and scarcely visible star Alcor."
Abhirūpā,अभिरूपा,Beautiful in every sense.
Anvikṣā,अन्विक्षा,"Search, introspection, examining, inquiry."
Ākāṅkṣā,आकाङ्क्षा,"desire, wish."
Āgamitā,आगमिता,"learnt, studied, ascertained."
Āgnikī,आग्निकी,belonging to the preparation of the sacrificial fire.
Āgnihotrikā,आग्निहोत्रिका,belonging to the Agnihotra sacrifice.
Āgnidhrā,आग्नीध्र,care of the sacred fire.
Āghāṭī,आघाटी,a cymbal or rattle.
Āṅgikā,आङ्गिका,"expressed by bodily action or attitude or gestures (as dramatic sentiment, passion, and so on)."
Ājāni,आजानि,"noble birth, descent."
Ājñā,आज्ञा,"order, command, authority, unlimited power."
Āñjanyā,आञ्जन्या,one whose eyes are to be anointed with ointment.
Āñjasī,आञ्जसी,"immediate, direct, unhesitant."
Ātapā,आतपा,sunshine.
Ātmatā,आत्मता,"essence, nature."
Ātreyī,आत्रेयी,a female descendant of ṛṣi Atri.
Ādimā,आदिमा,"first, prior, primitive, original."
Ādyā,आद्या,"(name of Goddess Durgā) being at the beginning, the earth, unparalleled, unprecedented."
Ādṛtā,आदृता,"attentive, careful, zealous."
Āntikā,आन्तिका,an elder sister.
Āryā,आर्या,(name of goddess Pārvatī) a name of a Sanskrit metre.
Āśā,आशा,hope.
Āpagā,आपगा,"a river, stream."
Āprī,आप्री,name of a particular kind of invocation spoken previous to the offering of oblations.
Ābhā,आभा,"splendor, light, a flash, beauty, appearance."
Ābhūti,आभूति,"reaching, attaining, superhuman power or strength."
Ābherī,आभेरी,name of one of the Rāgiṇīs or modes of music.
Ikkavāla,इक्कवाल,"good fortune, prosperity."
Ikṣvāku,इक्ष्वाकु,name of a son of Vaivasvata Manu (the first king of the solar dynasty in Ayodhyā).
Icchārāma,इच्छाराम,name of an author.
Ijya,इज्य,"a teacher, a deity or god, name of Bṛhaspati (the Guru of the gods)."
Iddha,इद्ध,"kindled, lighted, shining, blazing."
Iddhmavāha,इद्ध्मवाह,name of a son of Agastya Ṛṣi; one who carries fuel sticks or fuel in general (for the sacrifice).
Iṭa,इट,"name of a Ṛṣi belonging to Ṛgveda, a kind of reed or grass, a mat woven from such a grass."
Iḍa,इड,"name of Agni (who is to be addressed with prayers, or invoked with the stream or flow of praise)."
Indīvara,इन्दीवर,the blossom of a blue lotus.
Indu,इन्दु,"the moon, the Soma juice (often addressed in Rigveda), a bright drop or a spark."
Indra,इन्द्र,The God of the atmosphere and sky or lord of rain. (one who has Vajra i.e. thunderbolt in his hand and smites the enemies with that.)
Ina,इन,"able, strong, mighty, glorious, a king, the sun, name of an Āditya."
Inu,इनु,name of a Gandharva (a demi-god).
Ilivila,इलिविल,name of a son of Daśaratha.
Ilūṣa,इलूष,name of the father of Kavaṣa.
Ilya,इल्य,name of a mythical tree in the other world.
Iśhu,इषु,"an arrow, name of a Soma ceremony, name of a constellation, ray of light."
Iśmī,इष्मी,"going quickly, speedy, impetuous (associated with the winds)."
Iṣṭa,इष्ट,"desired, worshipped with sacrifices, sacrifice, beloved, agreeable, cherished, respected."
Iṣira,इषिर,"refreshing, fresh, active, vigorous, quick, name of Agni."
Itvara,इत्वर,"travelling, a traveller."
Ījāna,ईजान,one who has sacrificed.
Īlina,ईलिन,name of a son of Tansu and father of Duśyanta.
Īśāna,ईशान,"wealthy, reigning, ruler, master, one of the older names of Śiva or Rudra."
Īśvara,ईश्वर,"capable, liable, master, lord, prince, the supreme being."
Ikṣulā,इक्षुला,name of a river mentioned in Mahabhārata.
Iṅgudī,इङ्गुदी,name of a medicinal tree (Terminalia Catappa).
Ijyā,इज्या,"one who is revered or honoured, sacrifice, making offerings to the gods or manes."
Iḍikā,इडिका,the earth.
Iṭhimikā,इठिमिका,name of a section of the Kāṭhaka recension of YajurVeda.
Itkilā,इत्किला,name of a perfume.
Indirā,इन्दिरा,"name of Goddess Lakṣmī, beauty, splendour."
Indrāṇī,इन्द्राणी,"wife of God Indra, name of Goddess Durgā, pupil of the left eye."
Indrajā,इन्द्रजा,descended from Indra.
Indukalā,इन्दुकला,a digit of the moon.
Invagā,इन्वगा,name of the constellation (Nakṣatra) Mṛgaśīrṣa.
Ibhoṣaṇā,इभोषणा,a kind of aromatic plant.
Irā,इरा,"any drinkable fluid, enjoyment, refreshment, name of an Apsaras, the Earth, name of the Goddess of Speech i.e. Sarasvatī."
Irikā,इरिका,name of a plant.
Ilavilā,इलविला,name of daughter of Tṛṇabindu (wife of Viśravas and mother of Kubera).
Ilā,इला,"speech, the earth, flow."
Ilinā,इलिना,name of the daughter of Yama.
Ilvakā,इल्वका,the five stars in Orion’s head.
Ityā,इत्या,"going, stepping forward."
Iśīkā,इशिका,"the stem or stalk of grass used as an arrow, an elephant’s eyeball."
Iṣṭi,इष्टि,"impulse, acceleration, invitation, order."
Īṣā,ईषा,"the pole or shafts of a carriage or plough, a particular measure."
Īhitā,ईहीता,"sought, striven for, wished or desired."
Īhā,ईहा,"effort, exertion, activity."
Īvatī,ईवाती,"magnificent, large, going or moving."
Uktha,उक्थ,"eulogy, praise, series of verses chanted together."
Ukṣan,उक्षन्,"Name of various deities like Soma, Maruts, Sun and Agni, (lit.) large, an ox or bull."
Ukṣita,उक्षित,"Sprinkled or consecrated, strong, fully grown."
Ugravīrya,उग्रवीर्य,terrible in might.
Uṅkāra,उङ्कार,name of a companion of Viṣṇu.
Ucathya,उचथ्य,"(name of an Āṅgirasa seer, author of some hymns of the Ṛgveda) deserving praise."
Uccadeva,उच्चदेव,(name of God Viṣṇu or Kṛṣṇa) highest God.
Ucchikha,उच्छिख,"(Name of a Nāga in Mahābhārata) high-crested, blazing up, radiant."
Ucchiras,उच्छिरस,one with an upraised head.
Ujjendra,उज्जेन्द्र,name of a man.
Ujjhaka,उज्झक,"a devotee, a cloud."
Uḍḍīśa,उड्डीश,name of Śiva.
Utaṅka,उतङ्क,name of a Ṛṣi.
Utathya,उतथ्य,name of a son of Aṅgiras and elder brother of Bṛhaspati.
Utkala,उत्कल,name of a son of Dhruva.
Uttama,उत्तम,"best, excellent, highest, chief."
Udāna,उदान,"one of the five vital-airs present in the body, name of a kind of snake, joy."
Udaya,उदय,"rising, coming forth, being visible."
Udayana,उदयन,"(name of several kings and authors in Sanskrit literature) rising of the sun etc., conclusion, result."
Udita,उदित,"said, spoken, proclaimed, handed down."
Uddālaka,उद्दालक,(name of a Sanskrit teacher) a kind of honey.
Udbhava,उद्धव,"(name of a son of Nahuṣa) existence, generation, origin."
Udraka,उद्रक,name of a Ṛṣi.
Unmaṇi,उन्मणि,a gem lying on the surface.
Umeśa,उमेश,(name of God Śiva) husband of Umā i.e. Goddess Pārvatī.
Ukti,उक्ति,"proclamation, expression, a worthy speech or word."
Ugrasenī,उग्रसेनी,name of wife of Akrūra.
Ucitā,उचिता,"delightful, pleasurable, agreeable."
Ujjiti,उज्जिति,victory.
Ujjeśā,उज्जेशा,victorious.
Ujjvalā,उज्ज्वला,"Blazing, shining, splendid, a form of the Jagatī metre."
Uḍu,उडु,a star or constellation in the moon’s path.
Utkaṇikā,उत्कणिका,"desire, longing."
Utkalikā,उत्कालिका,"a bud, unblown flower."
Utkalitā,उत्कलिता,"blossoming, brilliant, bright."
Uttarā,उत्तरा,"(daughter of king Virāṭa and daughter in law of Arjuna) the northern quarter, name of a constellation."
Utpalā,उत्पला,name of an ancient river.
Uditi,उदिति,"ascending or rising of the sun, conclusion or end of a sacrifice."
Udgitā,उद्गिता,"sung, celebrated."
Uddyotā,उद्द्योता,"light, luster, flashing up."
Udbhaṭā,उद्भटा,"excellent, eminent, extraordinary."
Unnati,उन्नति,"(name of the daughter of Dakṣa, name of the wife of Garuḍa) high, eminent, sublime, noble, prosperity."
Umā,उमा,name of Goddess Durgā or Pārvatī.
Unmukhī,उन्मुखी,one who looks upwards or raising the face.
Upakośā,उपकोशा,name of a daughter of Upavarṣa and wife of Vararuci Kātyāyana.
Upamā,उपमा,"uppermost, highest, eminent, comparison, resemblance, equality."
Upendrā,उपेन्द्रा,name of a river in ancient Sanskrit scripture.
Urvaśī,उर्वशी,"name of an Apsaras, i.e. a celestial demi-goddess."
Urvī,उर्वी,"the earth, spacious, extended, great."
Urmilā,उर्मिला,name of the younger sister of Sītā and wife of Lakṣmaṇa
Ulkā,उल्का,"a fiery phenomenon in the sky, a meteor, fire falling from the firmament."
Caṇa,चण,"famous, renowned."
Cāṇakya,चाणक्य,(famous minister and political advisor of King Chandragupta) son of Caṇaka.
Catura,चतुर,"swift, quick, clever."
Cadira,चदिर,"the moon, camphor."
Candana,चन्दन,"Sandalwood, something which is excellent of its kind, aromatic."
Carmika,चर्मिक,shield-bearer.
Cākṣma,चाक्ष्म,gracious.
Cāru,चारु,"(one of the sons of Krishna) beloved, esteemed, pleasing."
Caitanya,चैतन्य,"consciousness, intelligence, soul."
Cyavana,च्यवन,(a seer / ṛṣi who was the son of seer Bhṛgu) one who is moving or one who makes something to move.
Cakrī,चक्री,(name of Viṣṇu) one who has the discus.
Candreśa,चन्द्रेश,(one of the names of Śiva) lord of the moon.
Cārudatta,चारुदत्त,one who is born beautiful.
Citragupta,चित्रगुप्त,(assistant of Yama who keeps the records of good and bad deeds of every being.) rich in secrets.
Cintāmaṇi,चिन्तामणि,(one of the names of Gaṇapatī) A jewel which wards off all the worries.
Cakora,चकोर,"the Greek partridge, a bird fabled to subsist on moon-beams."
Cakra,चक्र,"wheel of the chariot (in Rigveda, sun’s chariot), a discus or sharp circular missile weapon (especially of Viṣṇu)."
Cakreśa,चक्रेश,sovereign of the World.
Cakśaṇi,चक्षणि,an illuminator.
Caṅkura,चङ्कुर,"a tree, a carriage."
Cañcu,चञ्चु,"renowned or famous, a deer, name of a plant."
Candraketu,चन्द्रकेतु,(son of Lakṣmaṇa) sign or mark or torch like the moon.
Caraka,चरक,"(one of the followers and expounders of Ayurveda) Wanderer, Wandering religious student."
Caravya,चरव्य,"destined to sacrifice with Caru oblation, sacrificer."
Cātaka,चातक,the bird Cuculus melanoleucus (said to subsist on rain-drops).
Candrahāsa,चन्द्रहास,one having a smile as bright as the moon.
Cāruhāsa,चारुहास,one having a beautiful smile.
Cittarañjana,चित्तरञ्जन,gratifying or affiliating the mind.
Caitra,चैत्र,first month of the Hindu calendar.
Cirāyu,चिरायु,having a long life.
Cidātmā,चिदात्मा,pure thought or intelligence.
Candrā,चन्द्रा,"glittering, shining like gold, having brilliance or hue of light."
Candrikā,चन्द्रिका,resembling moonlight.
Citrā,चित्रा,"(one of the Indian names of constellations) excellent, bright, bright-coloured, wonderful."
Cevī,चेवी,a Rāgiṇī in Indian Classical music.
Caitrī,चैत्री,belonging to or born in the Hindu month Caitra.
Cārumatī,चारुमती,"having a noble or pleasing mind, intelligent."
Cārulatā,चारुलता,as beautiful as a creeper.
Caṇḍikā,चण्डिका,"(name of a goddess) silver, fair, precious, cooling."
Citralekhā,चित्रलेखा,a beautiful sketch or painting.
Cinmayī,चिन्मयी,"Intelligent, having conscience."
Citrāṅgadā,चित्राङ्गदा,having brilliant bracelets.
Cekitānā,चेकिताना,"wise, intelligent."
Cāruśīlā,चारुशीला,Having noble character.
Cārukeśī,चारुकेशी,(Name of a rāga in Carnatic music) Having beautiful hair.
Cetanā,चेतना,"Liveliness, soul."
Cārvī,चार्वी,"lovely, beautiful."
Cañcalā,चञ्चला,"movable, lightning, wind, libertine."
Caṭukārā,चटुकारा,one who speaks to please or flatter someone.
Caturikā,चतुरिका,"clever, skillful."
Canasitā,चनसिता,"satisfied, gracious."
Candakā,चन्दका,"pleasing, moonlight."
Campā,चम्पा,(name of a town in Aṅga region mentioned in Mahābhārata) name of a yellow- fragrant flower.
Caraṇī,चरणी,"movable, active."
Carcarī,चर्चरी,"musical symphony, the recitation of the scholars."
Cāndrī,चान्द्री,"lunar, moonlight, a kind of Solanum (night-plant)."
Cāndanī,चान्दनी,aroma of the sandalwood.
Lakṣa,लक्ष,"a mark or sign to be aimed, targeted."
Lakṣī,लक्षी,having good marks or signs.
Lakṣmaṇa,लक्ष्मण,"endowed with auspicious signs or marks, lucky, fortunate."
Labdhātīrtha,लब्धातीर्थ,one who has gained an opportunity.
Lalita,ललित,"sporty, innocent, soft, gentle, charming."
Lāla,लाल,the son of a Maitreya and a Brāhmaṇī.
Lava,लव,"(son of Rāma and Sītā) that which is cut or shorn off, a section, fragment, piece."
Laṣva,लष्व,"a dancer, an actor."
Lāsya,लास्य,a dancer.
Lokesh,लोकेश,lord of the worlds.
Likhitā,लिखिता,a painter (masculine word).
Laya,लय,"to become attached to anyone, place of rest, residence, house, time."
Lokajña,लोकज्ञ,"one who knows the world, one who understands men."
Lakṣmīkānta,लक्ष्मीकान्त,Beloved of Goddess Lakṣmī (Name of Viṣṇu).
Lokita,लोकित,"one who is seen, beheld, viewed."
Lohitaka,लोहितक,a ruby.
Līlādhara,लीलाधर,master of divine plays.
Lambodara,लम्बोदर,(name of Gaṇeśa) one having big stomach.
Lohitātākṣa,लोहिताक्ष,Lord Viṣṇu (red-eyed one).
Lagadha,लगध,the author of Vedāṅga called Jyotiṣa.
Lagaḍa,लगड,(an astrologer) a handsome person.
Laghimāna,लघिमान,"lightness, levity, absence of weight, a kind of siddhi or super-natural faculty of assuming excessive lightness at will."
Laṭabha,लटभ,"handsome, pretty, lovely."
Lābhaka,लाभक,"gain, profit, advantage."
Lambika,लम्बिक,the Indian cuckoo.
Lakṣitā,लक्षिता,"marked, distinguished, characterized, examined, recognised."
Lakṣmī,लक्ष्मी,"a good sign, good fortune, prosperity, success, happiness."
Lāghavī,लाघवी,a slender or delicate woman.
Latikā,लतिका,"a slender creeper, a string of pearls."
Lipsā,लिप्सा,"the desire to gain, wish to acquire or obtain."
Lavalī,लवली,"a kind of metre, छन्द or वृत्त in classical sanskrit literature."
Lasā,लसा,"saffron, turmeric, red sandalwood."
Laharī,लहरी,"a large wave, billow."
Lākṣaṇikī,लाक्षणिकी,"knowing marks, acquainted with signs, an interpreter of marks and signs."
Lāvaṇyā,लावण्या,"beauty, loveliness, charm."
Lekhā,लेखा,"a streak, a line, a stroke."
Lopamudrā,लोपमुद्रा,(wife of sage Agasti) a learned woman.
Līlāvatī,लीलावती,"sporty, active."
Lokyā,लोक्या,attainment of a better world.
Lohityā,लोहित्या,a celestial female/lady.
Lakṣaṇā,लक्षणा,"characteristic, attribute, quality."
Locanā,लोचना,having beautiful eyes.
Līnā,लीना,devoted one.
Lakṣmīpriyā,लक्ष्मीप्रिया,beloved of Goddess Lakṣmī.
Laghimā,लघिमा,(name of Goddess Pārvatī) One of the eight Siddhis.
Lipikā,लिपिका,"a written article, scribe."
Labukī,लबुकी,name of a musical instrument.
Laṭahā,लटहा,pretty or beautiful girl.
Latā,लता,"a creeper, any creeping or winding plant or twining tendril."
Līlā,लीला,divine playfulness.
Vaṅkaṭaka,वङ्कटक,name of a Mountain in Sanskrit literature.
Vakrama,वक्रम,"flight, retreat."
Vaṅgara,वङ्गर,name of a prince.
Vaktā,वक्ता,"speaker, eloquent, wise, honest, sincere, expounder or teacher."
Vaṭeśvara,वटेश्वर,"name of a Liṅga, of a Sanskrit poet."
Vatsa,वत्स,"(name of a descendant of Kaṇva, of Āgneya, of Kāśyapa) child or son, a year."
Vatsāra,वत्सार,name of a son of Kaśyapa.
Vanamāla,वनमाल,(name of Viṣṇu or Kṛṣṇa) wearing a garland of forest-flowers.
Vandhūla,वन्धूल,name of a Ṛṣi.
Varuṇa,वरुण,(name of a Vedic deity) all-enveloping sky.
Vijaya,विजय,victory.
Vīra,वीर,"brave, courageous person."
Vāja,वाज,"strength, vigour, energy, spirit, speed."
Vātsya,वातस्य,"name of an ancient teacher, of an ancient astronomer."
Vābhaṭa,वाभट,name of a lexicographer.
Vālmīki,वाल्मीकि,name of the celebrated author of the epic- Rāmāyaṇa.
Vaṃśī,वंशी,"flute, pipe, an artery or vein."
Vagalā,वगला,goddess worshipped by the Tāntrikas.
Vaṅgalā,वङ्गला,a particular Rāgiṇī in Indian Classical music.
Vacā,वचा,"a kind of talking bird, a kind of aromatic root."
Vajrā,वज्रा,name of goddess Durgā and of a daughter of Vaiśvānara.
Vañjarā,वञ्जरा,name of a river.
Vaṭakinī,वटकिणी,name of a particular night of full moon.
Vaḍabā,वडबा,"(the nymph Aśvinī, mother of the twin-deity, the Aśvins.) a female horse, mare, a particular constellation represented by a horse’s head."
Vatsalā,वत्सला,"kind, loving, tender, fond of or devoted to."
Vanacandrikā,वनचन्द्रिका,Jasminum Sambac.
Vanitā,वनिता,"a loved, desired female."
Vandanā,वन्दना,"worship, praise, adoration."
Vinītā,विनीता,"well-behaved, humble, modest."
Vaiṣṇavī,वैष्णवी,(name of goddess Lakṣmī) one belonging to God Viṣṇu.
Vīṇā,वीणा,"Ancient Indian instrument commonly known as ‘lute’, said to be played by Goddess Sarasvatī."
Kaca,कच,Name of the son of Bṛhaspati
Kañjaka,कञ्जक / Kañjala,"the bird Gracula Religiosa (i.e, the myna)"
Kañjana,कञ्जन,"Kāma, the god of love"
Kañjāra,कञ्जार,"a peacock, an elephant, a Munī, the sun,name of Brahmā"
Kaṭamarda,कटमर्द / Kaṭāṭaṅka,Name of Śiva
Kaṭavraṇa,कटव्रण,Name of Bhima
Kaṭhiñjara,कठिञ्जर,name of Tulasi
Kaṭha,कठ,"name of a sage (a pupil of Vaiśaṃpāyana and founder of a branch of the Yajurveda, called after him)"
Kaṇāda,कणाद,"name given to the author of the Vaiśeṣika branch of the Nyāya philosophy (as teaching that the world was formed by an aggregation of atoms; he is also called Kaśyapa, and considered as a Devarśi"
Kaṇva,कण्व,name of a renowned Ṛṣi (author of several hymns of the Ṛgveda
Kanakavarṇa,कनकवर्ण,Name of a King (supposed to be former manifestation of Śākya muni
Kanakaśakti,,name of Kārtikeya
Kandoṭa,कन्दोट,The blue lotus
Kandarpa,कन्दर्प,"Name of Kāma - the god of love, a particular Rāga"
Kapi,कपि,"Name of Viśṇu or Kṛṣna, name of the sun"
Kapila,कपिल,An ancient sage considered to be the founder of the Sāṃkhya philosophy
Karaṇa,करण,"a helper, companion (Atharvaveda)"
Karṇa,कर्ण,"name of a king of Aṅga (and elder brother by the mother's side of the Pāṇḍu princes, being the son of the god Sūrya by Pṛthā or Kuntī, before her marriage with Pāṇḍu ; afraid of the censure of her relatives, Kuntī deserted the child and exposed it in the river, where it was found by a charioteer named Ādhiratha and nurtured by his wife Radhā ; hence Karna is sometimes called Sūtaputra or Sūtaja, sometimes Rādheya."
Kardama,कर्दम,name of Prajāpatī
Kalādhara,कलाधर,Name of Śiva
Kalinda,कलिन्द,"The sun, name of a mountain on which river Yamunā rises"
Kalpa,कल्प,"Proper, fit, competent, equal, One of the six Vedāṅgas (that which prescribes the ritual and gives rules for ceremonial or sacrificial acts)"
Kalmāṣa,कल्माष,"a form of Agni, name of an attendant of the Sun"
Kalyāṇa,कल्याण,"beautiful, agreeable, illustrious, noble, generous, excellent, virtuous, good ; a particular Rāga (sung at night) ; name of a Gandharva"
Kalhaṇa,कल्हण,name of the author of the book Rājataraṅgiṇī
Kavi,कवि,"gifted with insight, intelligent, knowing, enlightened, wise, sensible, prudent, skilful, cunning; a thinker, intelligent man, man of understanding, leader ; a wise man, sage, seer, prophet; a singer, poet"
Kavikamala,कविकमल,"Lotus seat of poets, name of Brahmā"
Kavikratu,कविक्रतु,having insight of a wise man (names of Agni and Soma in the Ṛgveda)
Kavicandra,कविचन्द्र,name of various authors
Kaviṭṭa,कविभट्ट,name of a poet
Kavīndu,कवीन्दु,"moon of poets, name of Vālmīki"
Kavīndra,कवीन्द्र,prince among poets
Kavīśvara,कवीश्वर,"lord among poets, name of a poet"
Kaśyapa,कश्यप,descendent of Marīci and the author of several hymns of Ṛgveda
Kaśyapanandana,कश्यपनन्दन,"son of a Kaśyapa, name of Garuḍa (name of the bird of Viṣṇu."
Kaśyapatīrtha,कश्यपतीर्थ,name of a tīrtha
Kācima,काचिम,a sacred tree (growing near a temple)
Kātyāyana,कात्यायन,"name of the author of several treatises on ritual, grammar; also author of the Vārttikas or critical annotations on the aphorisms of Pāṇini, of the Yajurveda Prātiśākhya, and of the Śrauta-sūtras"
Kānta,कान्त,"desired, loved, dear, pleasing, agreeable, lovely, beautiful, name of Kṛṣna"
Kārtavīrya,कार्तवीर्य,"son of Kṛtavīrya/ name of Arjuna (a prince, killed by Paraśurāma), Mahābhārata ; name of one of the Cakravartins (emperors of the world in Bhrārata-varsha)"
Kārttikeya,कार्त्तिकेय,name of a son of Śiva and Pārvatī (popularly regarded as God of war)
Kāśīnātha,काशीनाथ,"Lord of Benaras, name of Śiva"
Kāhalī,काहली,name of Śiva
Kiraṇa,किरण,a ray of the beam of the light of the sun or the moon
Kirāta,किरात,name of Śiva (as a mountaineer opposed to Arjuna described in Bhāravi’s poetry Kirātārjunīyam)
Kiṛīṭa,किरीट,"a diadem, crest, any ornament used as a crown, tiara; name of a metre of four lines each consisting of 24 syllables"
Kumodaka,कुमोदक,name of Viṣṇu
Kuṇāla,कुणाल,"a kind of a bird (living in the Himālaya), name of the son of Aśoka"
Kutsa,कुत्स,"name of a Ṛśi, author of several hymns of the Ṛgveda"
Kunālika,कुनालिक,the Indian cuckoo
Kuvaya,कुवय,a kind of bird
Kuvala,कुवल,a pearl
Kuśa,कुश,"sacred grass used in certain, religious ceremonies; son of Rāma"
Kuśāgra,कुशाग्र,"sharp, shrewd"
Kuśala,कुशल,"right, proper, suitable, good; competent, able, skilful, clever"
Kuśika,कुशिक,name of the father (or grandfather) of Viśvāmitra
Kūpāra,कूपार,the ocean
Kṛṣkara,कृष्कर,name of Śiva
Kedāra,केदार,"a field of meadow, name of Śiva as worshipped in the Himālayas"
Kañjikā,कञ्जिका,the medicinal plant Siphonantus Indica (i.e bhārangi)
Kaṭhaśruti,कठश्रुति,name of an upaniśad (kaṭhopaniśad)
Kanakalatā,कनकलता / Kanakalatikā,(कनकलतिका)
Kanakavāhinī,कनकवाहिनी,"“gold stream”, name of a river"
Kanā,कना/ Kanī,"a girl, a maiden (Ṛgveda)"
Kandirī,कन्दिरी,"the sensitive plant (Marathi-लाजाळू , Hindi-छुइमुइ)"
Kapilā,कपिला,Name of one of the daughters of Dakṣa
Kāmanā,कामना,"Wishing for, desirous, libidinous, beautiful, desirable, lovely"
Kamalā,कमला,"Pale red, rose coloured, name of Lakṣmī"
Kamalavadanā,कमलवदना,Lotus-faced
Kamalinī,कमलिनी,the lotus plant
Kampikā,कम्पिका,a kind of musical instrument
Kambhārī,कम्भारी,name of a medicinal tree
Karatoyā,करतोया,Name of a river in North East of Bengal [said to have originated from the water poured in the hands of Śiva at his marriage with Pārvatī and thrown by Him on the ground]
Karuṇā,करुणा,compassionate
